Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
08/12/2020,02/01/2020,08/08/2020,United States,All,Under 1 year,16
08/12/2020,02/01/2020,08/08/2020,United States,All,1-4 years,10
08/12/2020,02/01/2020,08/08/2020,United States,All,5-14 years,23
08/12/2020,02/01/2020,08/08/2020,United States,All,15-24 years,242
08/12/2020,02/01/2020,08/08/2020,United States,All,25-34 years,1133
08/12/2020,02/01/2020,08/08/2020,United States,All,35-44 years,2920
08/12/2020,02/01/2020,08/08/2020,United States,All,45-54 years,7721
08/12/2020,02/01/2020,08/08/2020,United States,All,55-64 years,18579
08/12/2020,02/01/2020,08/08/2020,United States,All,65-74 years,31488
08/12/2020,02/01/2020,08/08/2020,United States,All,75-84 years,39348
08/12/2020,02/01/2020,08/08/2020,United States,All,85 years and over,47712
08/12/2020,02/01/2020,08/08/2020,United States,All,All ages,149192
08/12/2020,02/01/2020,08/08/2020,United States,Male,Under 1 year,11
08/12/2020,02/01/2020,08/08/2020,United States,Male,1-4 years,5
08/12/2020,02/01/2020,08/08/2020,United States,Male,5-14 years,17
08/12/2020,02/01/2020,08/08/2020,United States,Male,15-24 years,154
08/12/2020,02/01/2020,08/08/2020,United States,Male,25-34 years,763
08/12/2020,02/01/2020,08/08/2020,United States,Male,35-44 years,2028
08/12/2020,02/01/2020,08/08/2020,United States,Male,45-54 years,5328
08/12/2020,02/01/2020,08/08/2020,United States,Male,55-64 years,12173
08/12/2020,02/01/2020,08/08/2020,United States,Male,65-74 years,19478
08/12/2020,02/01/2020,08/08/2020,United States,Male,75-84 years,21562
08/12/2020,02/01/2020,08/08/2020,United States,Male,85 years and over,18775
08/12/2020,02/01/2020,08/08/2020,United States,Male,All ages,80294
08/12/2020,02/01/2020,08/08/2020,United States,Female,Under 1 year,5
08/12/2020,02/01/2020,08/08/2020,United States,Female,1-4 years,5
08/12/2020,02/01/2020,08/08/2020,United States,Female,5-14 years,6
08/12/2020,02/01/2020,08/08/2020,United States,Female,15-24 years,88
08/12/2020,02/01/2020,08/08/2020,United States,Female,25-34 years,370
08/12/2020,02/01/2020,08/08/2020,United States,Female,35-44 years,892
08/12/2020,02/01/2020,08/08/2020,United States,Female,45-54 years,2392
08/12/2020,02/01/2020,08/08/2020,United States,Female,55-64 years,6406
08/12/2020,02/01/2020,08/08/2020,United States,Female,65-74 years,12009
08/12/2020,02/01/2020,08/08/2020,United States,Female,75-84 years,17785
