City,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases /1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Date
New York ,188694,7550.0,9385.0,758 ,162220,9618.0,478.0,461601.0,"23,529",04-12-2020
New Jersey ,61850,3699.0,2350.0,167 ,58818,6964.0,265.0,126735.0,"14,269",04-12-2020
Michigan ,23993,,1392.0, ,22158,2410.0,140.0,76014.0,"7,634",04-12-2020
Massachusetts ,22860,,686.0, ,21445,3347.0,100.0,108776.0,"15,926",04-12-2020
Pennsylvania ,22833,1029.0,507.0,6 ,21676,1785.0,40.0,124890.0,"9,764",04-12-2020
California ,22424,251.0,634.0,4 ,20850,573.0,16.0,182986.0,"4,674",04-12-2020
Louisiana ,20595,581.0,840.0,34 ,19705,4416.0,180.0,104045.0,"22,310",04-12-2020
Florida ,19347,361.0,452.0,6 ,18715,939.0,22.0,183222.0,"8,895",04-12-2020
Illinois ,19180,,677.0, ,18453,1496.0,53.0,92779.0,"7,236",04-12-2020
Texas ,13484,279.0,271.0,4 ,11596,484.0,10.0,124553.0,"4,467",04-12-2020
Georgia ,12452,191.0,433.0,1 ,11988,1209.0,42.0,54453.0,"5,288",04-12-2020
Connecticut ,11510,,494.0, ,10966,3214.0,138.0,39831.0,"11,121",04-12-2020
Washington ,10448,,494.0, ,8880,1432.0,68.0,92999.0,"12,749",04-12-2020
Maryland ,8225,531.0,235.0,29 ,7534,1370.0,39.0,47238.0,"7,868",04-12-2020
Indiana ,7928,493.0,343.0,13 ,7571,1194.0,52.0,42489.0,"6,401",04-12-2020
Colorado ,6893,,274.0, ,6579,1246.0,50.0,34873.0,"6,305",04-12-2020
Ohio ,6250,,247.0, ,6003,537.0,21.0,60471.0,"5,194",04-12-2020
Virginia ,5274,197.0,141.0,11 ,5131,627.0,17.0,39985.0,"4,752",04-12-2020
Tennessee ,5114,,101.0, ,3627,769.0,15.0,66828.0,"10,048",04-12-2020
North Carolina ,4520,165.0,87.0, ,4347,445.0,9.0,62139.0,"6,119",04-12-2020
Missouri ,4024,,114.0, ,3726,661.0,19.0,45064.0,"7,400",04-12-2020
Arizona ,3539,146.0,115.0,7 ,3384,509.0,17.0,42109.0,"6,062",04-12-2020
Alabama ,3450,188.0,93.0, ,3337,709.0,19.0,20605.0,"4,236",04-12-2020
US Military ,3366,,13.0, ,3054,,,0.0,,04-12-2020
Wisconsin ,3213,,137.0, ,3011,556.0,24.0,37893.0,"6,558",04-12-2020
South Carolina ,3207,,80.0, ,3127,647.0,16.0,30093.0,"6,072",04-12-2020
Nevada ,2836,136.0,112.0,1 ,2474,970.0,38.0,29579.0,"10,120",04-12-2020
Mississippi ,2781,139.0,96.0,3 ,2685,930.0,32.0,21101.0,"7,060",04-12-2020
Rhode Island ,2665,316.0,63.0,7 ,2592,2522.0,60.0,20350.0,"19,260",04-12-2020
Utah ,2206,,18.0, ,2162,724.0,6.0,42546.0,"13,971",04-12-2020
Oklahoma ,1970,102.0,96.0,2 ,1352,503.0,25.0,22511.0,"5,745",04-12-2020
District Of Columbia ,1875,97.0,50.0,3 ,1332,2739.0,73.0,10640.0,"15,544",04-12-2020
Kentucky ,1840,,94.0, ,1440,414.0,21.0,24567.0,"5,533",04-12-2020
Minnesota ,1621,194.0,70.0,6 ,709,293.0,13.0,37421.0,"6,770",04-12-2020
Iowa ,1510,,34.0, ,1387,482.0,11.0,17132.0,"5,469",04-12-2020
Delaware ,1479,,33.0, ,1255,1558.0,35.0,11103.0,"11,694",04-12-2020
Oregon ,1447,,51.0, ,1396,354.0,12.0,28638.0,"7,016",04-12-2020
Idaho ,1407,,27.0, ,1380,834.0,16.0,14308.0,"8,477",04-12-2020
Arkansas  ,1280,52.0,27.0,2 ,886,428.0,9.0,19722.0,"6,595",04-12-2020
Kansas ,1268,,55.0, ,1213,436.0,19.0,12343.0,"4,243",04-12-2020
New Mexico ,1174,,20.0, ,983,561.0,10.0,28692.0,"13,712",04-12-2020
New Hampshire ,929,,23.0, ,670,691.0,17.0,10925.0,"8,131",04-12-2020
Puerto Rico ,897,109.0,44.0,2 ,849,265.0,13.0,7973.0,"2,354",04-12-2020
Nebraska ,791,87.0,17.0, ,774,415.0,9.0,10710.0,"5,623",04-12-2020
South Dakota ,730,104.0,6.0, ,528,845.0,7.0,8553.0,"9,896",04-12-2020
Vermont ,727,16.0,27.0,2 ,700,1163.0,43.0,9841.0,"15,746",04-12-2020
Navajo Nation ,698,140.0,24.0,2 ,674,,,0.0,,04-12-2020
