Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Continent,Date
World,1741818,42983.0,106694,4010.0,393456.0,1241668.0,50130.0,223.0,13.7,,,All,04-11-2020
USA,508575,5699.0,19833 ,1086.0,28224.0,460518.0,10947.0,1536.0,60.0,2578931.0,7791.0,North America,04-11-2020
Spain,161852,3579.0,16353 ,272.0,59109.0,86390.0,7371.0,3462.0,350.0,355000.0,7593.0,Europe,04-11-2020
Italy,152271,4694.0,19468 ,619.0,32534.0,100269.0,3381.0,2518.0,322.0,963473.0,15935.0,Europe,04-11-2020
France,124869,,13197 ,,24932.0,86740.0,7004.0,1913.0,202.0,333807.0,5114.0,Europe,04-11-2020
Germany,123826,1655.0,2736 ,,53913.0,67177.0,4895.0,1478.0,33.0,1317887.0,15730.0,Europe,04-11-2020
China,81953,46.0,3339 ,3.0,77525.0,1089.0,141.0,57.0,2.0,,,Asia,04-11-2020
UK,78991,5233.0,9875 ,917.0,344.0,68772.0,1559.0,1164.0,145.0,334974.0,4934.0,Europe,04-11-2020
Iran,70029,1837.0,4357 ,125.0,41947.0,23725.0,3987.0,834.0,52.0,251703.0,2997.0,Asia,04-11-2020
Turkey,52167,5138.0,1101 ,95.0,2965.0,48101.0,1626.0,619.0,13.0,340380.0,4036.0,Asia,04-11-2020
Belgium,28018,1351.0,3346 ,327.0,5986.0,18686.0,1262.0,2418.0,289.0,102151.0,8814.0,Europe,04-11-2020
Switzerland,25071,520.0,1036 ,34.0,11100.0,12935.0,386.0,2897.0,120.0,190000.0,21954.0,Europe,04-11-2020
Netherlands,24413,1316.0,2643 ,132.0,250.0,21520.0,1384.0,1425.0,154.0,101534.0,5926.0,Europe,04-11-2020
Canada,22575,427.0,569 ,,6013.0,15993.0,557.0,598.0,15.0,401552.0,10639.0,North America,04-11-2020
Brazil,20022,233.0,1075 ,7.0,173.0,18774.0,296.0,94.0,5.0,62985.0,296.0,South America,04-11-2020
Portugal,15987,515.0,470 ,35.0,266.0,15251.0,233.0,1568.0,46.0,140863.0,13815.0,Europe,04-11-2020
Austria,13798,238.0,337 ,18.0,6604.0,6857.0,246.0,1532.0,37.0,140975.0,15653.0,Europe,04-11-2020
Russia,13584,1667.0,106 ,12.0,1045.0,12433.0,8.0,93.0,0.7,1184442.0,8116.0,Europe,04-11-2020
Israel,10525,117.0,96 ,1.0,1258.0,9171.0,180.0,1216.0,11.0,117339.0,13557.0,Asia,04-11-2020
S. Korea,10480,30.0,211 ,3.0,7243.0,3026.0,55.0,204.0,4.0,510479.0,9957.0,Asia,04-11-2020
Sweden,10151,466.0,887 ,17.0,381.0,8883.0,774.0,1005.0,88.0,54700.0,5416.0,Europe,04-11-2020
India,8339,739.0,249 ,,774.0,7316.0,,6.0,0.2,189111.0,137.0,Asia,04-11-2020
Ireland,8089,,287 ,,25.0,7777.0,194.0,1638.0,58.0,53000.0,10734.0,Europe,04-11-2020
Ecuador,7257,96.0,315 ,18.0,411.0,6531.0,184.0,411.0,18.0,21568.0,1222.0,South America,04-11-2020
Chile,6927,426.0,73 ,8.0,1864.0,4990.0,383.0,362.0,4.0,76374.0,3995.0,South America,04-11-2020
Norway,6403,89.0,117 ,4.0,32.0,6254.0,67.0,1181.0,22.0,124279.0,22924.0,Europe,04-11-2020
Poland,6356,401.0,208 ,27.0,375.0,5773.0,160.0,168.0,5.0,129560.0,3423.0,Europe,04-11-2020
Australia,6303,65.0,56 ,2.0,3265.0,2982.0,80.0,247.0,2.0,351380.0,13780.0,Australia/Oceania,04-11-2020
Japan,6005,,99 ,,762.0,5144.0,109.0,47.0,0.8,64387.0,509.0,Asia,04-11-2020
Denmark,5996,177.0,260 ,13.0,1955.0,3781.0,106.0,1035.0,45.0,67771.0,11700.0,Europe,04-11-2020
Romania,5990,523.0,290 ,20.0,758.0,4942.0,208.0,311.0,15.0,59272.0,3081.0,Europe,04-11-2020
