,Admin,State,Lat,Longt,Date,Confirmed
0,Autauga,Alabama,32.53952745,-86.64408227,2020-09-23,1715
1,Baldwin,Alabama,30.72774991,-87.72207058,2020-09-23,5141
2,Barbour,Alabama,31.868263,-85.3871286,2020-09-23,851
3,Bibb,Alabama,32.99642064,-87.12511459999999,2020-09-23,638
4,Blount,Alabama,33.98210918,-86.56790593,2020-09-23,1580
5,Bullock,Alabama,32.10030533,-85.71265535,2020-09-23,597
6,Butler,Alabama,31.75300095,-86.68057478,2020-09-23,911
7,Calhoun,Alabama,33.77483727,-85.82630386,2020-09-23,3401
8,Chambers,Alabama,32.91360079,-85.39072749,2020-09-23,1144
9,Cherokee,Alabama,34.17805983,-85.60638968,2020-09-23,583
10,Chilton,Alabama,32.85044126,-86.7173256,2020-09-23,1524
11,Choctaw,Alabama,32.02227341,-88.26564429999999,2020-09-23,344
12,Clarke,Alabama,31.68099859,-87.83548597,2020-09-23,1070
13,Clay,Alabama,33.26984193,-85.85836077,2020-09-23,554
14,Cleburne,Alabama,33.67679204,-85.52005899,2020-09-23,335
15,Coffee,Alabama,31.39932826,-85.98901039,2020-09-23,1298
16,Colbert,Alabama,34.69847452,-87.80168544,2020-09-23,1629
17,Conecuh,Alabama,31.43401703,-86.99320044,2020-09-23,530
18,Coosa,Alabama,32.93690146,-86.24847739,2020-09-23,167
19,Covington,Alabama,31.247785399999998,-86.45050893,2020-09-23,1334
20,Crenshaw,Alabama,31.72941803,-86.31593104,2020-09-23,527
21,Cullman,Alabama,34.13020303,-86.86888037,2020-09-23,1868
22,Dale,Alabama,31.43037123,-85.61095742,2020-09-23,1346
23,Dallas,Alabama,32.32688101,-87.10866709999999,2020-09-23,1759
24,DeKalb,Alabama,34.45946862,-85.80782906,2020-09-23,2375
25,Elmore,Alabama,32.59785413,-86.14415284,2020-09-23,2596
26,Escambia,Alabama,31.1256789,-87.15918694,2020-09-23,1577
27,Etowah,Alabama,34.04567266,-86.04051873,2020-09-23,3402
28,Fayette,Alabama,33.72076938,-87.73886638,2020-09-23,435
29,Franklin,Alabama,34.44235334,-87.84289505,2020-09-23,1752
30,Geneva,Alabama,31.09389027,-85.83572839,2020-09-23,586
31,Greene,Alabama,32.85504247,-87.95684022,2020-09-23,303
32,Hale,Alabama,32.76039258,-87.63284988,2020-09-23,619
33,Henry,Alabama,31.51148016,-85.24267944,2020-09-23,483
34,Houston,Alabama,31.15197924,-85.29939599,2020-09-23,2764
35,Jackson,Alabama,34.78144169,-85.99750489,2020-09-23,1540
36,Jefferson,Alabama,33.55554728,-86.89506300000001,2020-09-23,19306
37,Lamar,Alabama,33.77995024,-88.09668032,2020-09-23,357
38,Lauderdale,Alabama,34.90171875,-87.65624729,2020-09-23,1673
39,Lawrence,Alabama,34.52041498,-87.31069453,2020-09-23,605
