,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
0,08/12/2020,02/01/2020,08/08/2020,United States,All,Under 1 year,16
1,08/12/2020,02/01/2020,08/08/2020,United States,All,1-4 years,10
2,08/12/2020,02/01/2020,08/08/2020,United States,All,5-14 years,23
3,08/12/2020,02/01/2020,08/08/2020,United States,All,15-24 years,242
4,08/12/2020,02/01/2020,08/08/2020,United States,All,25-34 years,1133
5,08/12/2020,02/01/2020,08/08/2020,United States,All,35-44 years,2920
6,08/12/2020,02/01/2020,08/08/2020,United States,All,45-54 years,7721
7,08/12/2020,02/01/2020,08/08/2020,United States,All,55-64 years,18579
8,08/12/2020,02/01/2020,08/08/2020,United States,All,65-74 years,31488
9,08/12/2020,02/01/2020,08/08/2020,United States,All,75-84 years,39348
10,08/12/2020,02/01/2020,08/08/2020,United States,All,85 years and over,47712
11,08/12/2020,02/01/2020,08/08/2020,United States,All,All ages,149192
12,08/12/2020,02/01/2020,08/08/2020,United States,Male,Under 1 year,11
13,08/12/2020,02/01/2020,08/08/2020,United States,Male,1-4 years,5
14,08/12/2020,02/01/2020,08/08/2020,United States,Male,5-14 years,17
15,08/12/2020,02/01/2020,08/08/2020,United States,Male,15-24 years,154
16,08/12/2020,02/01/2020,08/08/2020,United States,Male,25-34 years,763
17,08/12/2020,02/01/2020,08/08/2020,United States,Male,35-44 years,2028
18,08/12/2020,02/01/2020,08/08/2020,United States,Male,45-54 years,5328
19,08/12/2020,02/01/2020,08/08/2020,United States,Male,55-64 years,12173
20,08/12/2020,02/01/2020,08/08/2020,United States,Male,65-74 years,19478
21,08/12/2020,02/01/2020,08/08/2020,United States,Male,75-84 years,21562
22,08/12/2020,02/01/2020,08/08/2020,United States,Male,85 years and over,18775
23,08/12/2020,02/01/2020,08/08/2020,United States,Male,All ages,80294
24,08/12/2020,02/01/2020,08/08/2020,United States,Female,Under 1 year,5
25,08/12/2020,02/01/2020,08/08/2020,United States,Female,1-4 years,5
26,08/12/2020,02/01/2020,08/08/2020,United States,Female,5-14 years,6
27,08/12/2020,02/01/2020,08/08/2020,United States,Female,15-24 years,88
28,08/12/2020,02/01/2020,08/08/2020,United States,Female,25-34 years,370
29,08/12/2020,02/01/2020,08/08/2020,United States,Female,35-44 years,892
30,08/12/2020,02/01/2020,08/08/2020,United States,Female,45-54 years,2392
31,08/12/2020,02/01/2020,08/08/2020,United States,Female,55-64 years,6406
32,08/12/2020,02/01/2020,08/08/2020,United States,Female,65-74 years,12009
33,08/12/2020,02/01/2020,08/08/2020,United States,Female,75-84 years,17785
34,08/12/2020,02/01/2020,08/08/2020,United States,Female,85 years and over,28934
35,08/12/2020,02/01/2020,08/08/2020,United States,Female,All ages,68892
36,08/12/2020,02/01/2020,08/08/2020,United States,Unknown,All ages,6
37,08/12/2020,02/01/2020,08/08/2020,United States Total,All,All ages,149192
38,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,Under 1 year,0
39,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,1-4 years,0
40,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,5-14 years,0
41,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,15-24 years,1048.084359
42,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,25-34 years,1048.084359
43,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,35-44 years,21
44,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,45-54 years,68
45,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,55-64 years,140
46,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,65-74 years,244
47,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,75-84 years,265
48,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,85 years and over,185
49,08/12/2020,02/01/2020,08/08/2020,Alabama,Male,All ages,934
50,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,Under 1 year,0
51,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,1-4 years,0
52,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,5-14 years,0
53,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,15-24 years,0
54,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,25-34 years,1048.084359
55,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,35-44 years,20
56,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,45-54 years,46
57,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,55-64 years,111
58,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,65-74 years,212
59,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,75-84 years,227
60,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,85 years and over,289
61,08/12/2020,02/01/2020,08/08/2020,Alabama,Female,All ages,909
62,08/12/2020,02/01/2020,08/08/2020,Alabama,Unknown,All ages,0
63,08/12/2020,02/01/2020,08/08/2020,Alabama Total,All,All ages,1843
64,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,Under 1 year,0
65,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,1-4 years,0
66,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,5-14 years,0
67,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,15-24 years,0
68,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,25-34 years,0
69,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,35-44 years,0
70,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,45-54 years,1048.084359
71,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,55-64 years,0
72,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,65-74 years,1048.084359
73,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,75-84 years,1048.084359
74,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,85 years and over,1048.084359
75,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,All ages,1048.084359
76,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,Under 1 year,0
77,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,1-4 years,0
78,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,5-14 years,0
79,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,15-24 years,0
80,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,25-34 years,1048.084359
81,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,35-44 years,0
82,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,45-54 years,1048.084359
83,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,55-64 years,1048.084359
84,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,65-74 years,1048.084359
85,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,75-84 years,1048.084359
86,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,85 years and over,0
87,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,All ages,1048.084359
88,08/12/2020,02/01/2020,08/08/2020,Alaska,Unknown,All ages,0
89,08/12/2020,02/01/2020,08/08/2020,Alaska Total,All,All ages,17
90,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,Under 1 year,0
91,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,1-4 years,1048.084359
92,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,5-14 years,1048.084359
93,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,15-24 years,11
94,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,25-34 years,40
95,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,35-44 years,77
96,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,45-54 years,168
