Deaths,Confirmed
25,1715
49,5141
7,851
10,638
15,1580
14,597
39,911
40,3401
42,1144
15,583
31,1524
12,344
17,1070
7,554
6,335
8,1298
26,1629
11,530
3,167
27,1334
32,527
18,1868
44,1346
26,1759
19,2375
47,2596
25,1577
47,3402
8,435
29,1752
4,586
15,303
28,619
5,483
23,2764
11,1540
349,19306
2,357
33,1673
22,605
61,5792
19,2033
27,652
20,479
78,7709
19,705
29,954
44,3892
291,13233
8,580
177,8748
26,3239
0,0
6,539
14,645
9,1179
13,627
2,1732
50,5787
37,2263
19,432
28,2106
85,1138
116,7418
0,0
83,2253
13,551
11,530
12,718
0,2
0,8
28,3926
1,96
0,10
0,2
0,8
0,1001
9,5
0,0
0,273
1,440
2,49
0,21
0,12
0,0
2,587
0,57
0,96
0,98
0,0
1,7
0,30
0,44
0,0
0,24
0,17
0,76
0,13
0,23
1,79
0,0
164,3476
71,1886
133,3819
51,1245
24,808
2,59
15,536
3304,140409
223,3930
233,5763
0,0
613,25004
206,10422
63,2823
0,0
79,2495
344,12609
5,371
9,428
2,302
82,6399
10,664
8,340
0,34
9,630
19,1001
4,322
7,277
8,315
10,179
18,399
3,255
21,2759
15,1303
45,1903
8,422
3,158
5,284
6,350
19,2363
2,261
3,134
49,1798
2,252
8,823
4,359
26,1863
8,463
17,1051
0,202
1,302
64,2999
5,829
2,98
12,391
18,1052
15,1943
25,352
1,398
11,1102
2,337
0,83
11,797
50,1636
0,121
4,139
13,214
18,226
6,252
0,0
0,85
11,470
3,223
11,632
4,253
30,2054
1,142
143,8881
22,395
23,2007
1,97
1,141
58,3543
16,1196
6,208
6,1491
7,322
0,1624
32,858
2,172
109,9178
21,768
0,48
29,1240
395,20839
0,2
16,287
40,2776
14,314
6,522
202,16156
1,138
4,1078
362,27944
3,568
6,490
317,11658
14,187
357,31647
77,7544
11,516
0,736
6423,263333
65,4424
114,6620
2,75
18,887
140,8803
0,25
2,165
70,9645
13,1652
6,525
1176,52538
0,0
43,3523
0,50
1173,57695
393,21800
11,1314
908,53121
767,45425
99,10901
434,20060
27,3453
144,9664
111,8952
300,20648
8,2283
14,751
0,6
0,163
60,6232
120,7225
342,16425
10,1686
4,529
0,15
257,15782
4,226
0,0
146,12507
55,2773
7,1133
222,8684
9,242
370,8999
0,55
0,17
0,11
79,3990
33,616
19,325
0,13
1,37
0,31
1,32
1,73
0,17
3,187
434,12689
0,3
60,2458
10,1244
170,6743
3,152
1,170
5,936
0,18
1,71
7,296
0,3
1,19
0,9
248,5500
0,0
3,79
2,255
