,State,Confirmed
0,Alabama,1715
1,Alabama,5141
2,Alabama,851
3,Alabama,638
4,Alabama,1580
5,Alabama,597
6,Alabama,911
7,Alabama,3401
8,Alabama,1144
9,Alabama,583
10,Alabama,1524
11,Alabama,344
12,Alabama,1070
13,Alabama,554
14,Alabama,335
15,Alabama,1298
16,Alabama,1629
17,Alabama,530
18,Alabama,167
19,Alabama,1334
20,Alabama,527
21,Alabama,1868
22,Alabama,1346
23,Alabama,1759
24,Alabama,2375
25,Alabama,2596
26,Alabama,1577
27,Alabama,3402
28,Alabama,435
29,Alabama,1752
30,Alabama,586
31,Alabama,303
32,Alabama,619
33,Alabama,483
34,Alabama,2764
35,Alabama,1540
36,Alabama,19306
37,Alabama,357
38,Alabama,1673
39,Alabama,605
40,Alabama,5792
41,Alabama,2033
42,Alabama,652
43,Alabama,479
44,Alabama,7709
45,Alabama,705
46,Alabama,954
47,Alabama,3892
48,Alabama,13233
49,Alabama,580
50,Alabama,8748
51,Alabama,3239
52,Alabama,0
53,Alabama,539
54,Alabama,645
55,Alabama,1179
56,Alabama,627
57,Alabama,1732
58,Alabama,5787
59,Alabama,2263
60,Alabama,432
61,Alabama,2106
62,Alabama,1138
63,Alabama,7418
64,Alabama,0
65,Alabama,2253
66,Alabama,551
67,Alabama,530
68,Alabama,718
69,Alaska,2
70,Alaska,8
71,Alaska,3926
72,Alaska,96
73,Alaska,10
74,Alaska,2
75,Alaska,8
76,Alaska,1001
77,Alaska,5
78,Alaska,0
79,Alaska,273
80,Alaska,440
81,Alaska,49
82,Alaska,21
83,Alaska,12
84,Alaska,0
85,Alaska,587
86,Alaska,57
87,Alaska,96
88,Alaska,98
89,Alaska,0
90,Alaska,7
91,Alaska,30
92,Alaska,44
93,Alaska,0
94,Alaska,24
95,Alaska,17
96,Alaska,76
97,Alaska,13
98,Alaska,23
99,Alaska,79
100,American Samoa,0
101,Arizona,3476
102,Arizona,1886
103,Arizona,3819
104,Arizona,1245
105,Arizona,808
106,Arizona,59
107,Arizona,536
108,Arizona,140409
109,Arizona,3930
110,Arizona,5763
111,Arizona,0
112,Arizona,25004
113,Arizona,10422
114,Arizona,2823
115,Arizona,0
116,Arizona,2495
117,Arizona,12609
118,Arkansas,371
119,Arkansas,428
120,Arkansas,302
121,Arkansas,6399
122,Arkansas,664
123,Arkansas,340
124,Arkansas,34
125,Arkansas,630
126,Arkansas,1001
127,Arkansas,322
128,Arkansas,277
129,Arkansas,315
130,Arkansas,179
131,Arkansas,399
132,Arkansas,255
133,Arkansas,2759
134,Arkansas,1303
135,Arkansas,1903
136,Arkansas,422
137,Arkansas,158
138,Arkansas,284
139,Arkansas,350
140,Arkansas,2363
141,Arkansas,261
142,Arkansas,134
143,Arkansas,1798
144,Arkansas,252
145,Arkansas,823
