,State,Confirmed
0,Alabama,147153
1,Alaska,7004
2,American Samoa,0
3,Arizona,215284
4,Arkansas,77963
5,California,796436
6,Colorado,66649
7,Connecticut,56315
8,Delaware,19830
9,Diamond Princess,49
10,District of Columbia,15050
11,Florida,690499
12,Georgia,310161
13,Grand Princess,103
14,Guam,2235
15,Hawaii,11689
16,Idaho,38743
17,Illinois,281303
18,Indiana,113337
19,Iowa,82871
20,Kansas,54846
21,Kentucky,63515
22,Louisiana,162645
23,Maine,5170
24,Maryland,121297
25,Massachusetts,128512
26,Michigan,131259
27,Minnesota,92100
28,Mississippi,94573
29,Missouri,118205
30,Montana,10912
31,Nebraska,42278
32,Nevada,76807
33,New Hampshire,8007
34,New Jersey,200988
35,New Mexico,27987
36,New York,451892
37,North Carolina,196500
38,North Dakota,18981
39,Northern Mariana Islands,69
40,Ohio,146753
41,Oklahoma,80161
42,Oregon,31503
43,Pennsylvania,157336
44,Puerto Rico,42660
45,Rhode Island,24177
46,South Carolina,141686
47,South Dakota,19634
48,Tennessee,186798
49,Texas,742913
50,Utah,65921
51,Vermont,1722
52,Virgin Islands,1290
53,Virginia,142459
54,Washington,83702
55,West Virginia,14515
56,Wisconsin,105932
57,Wyoming,5169
