,index,Confirmed,Deaths,clusters,cluster
0,0,1715,25,0,pink
1,1,5141,49,0,pink
2,2,851,7,0,pink
3,3,638,10,0,pink
4,4,1580,15,0,pink
5,5,597,14,0,pink
6,6,911,39,0,pink
7,7,3401,40,0,pink
8,8,1144,42,0,pink
9,9,583,15,0,pink
10,10,1524,31,0,pink
11,11,344,12,0,pink
12,12,1070,17,0,pink
13,13,554,7,0,pink
14,14,335,6,0,pink
15,15,1298,8,0,pink
16,16,1629,26,0,pink
17,17,530,11,0,pink
18,18,167,3,0,pink
19,19,1334,27,0,pink
20,20,527,32,0,pink
21,21,1868,18,0,pink
22,22,1346,44,0,pink
23,23,1759,26,0,pink
24,24,2375,19,0,pink
25,25,2596,47,0,pink
26,26,1577,25,0,pink
27,27,3402,47,0,pink
28,28,435,8,0,pink
29,29,1752,29,0,pink
30,30,586,4,0,pink
31,31,303,15,0,pink
32,32,619,28,0,pink
33,33,483,5,0,pink
34,34,2764,23,0,pink
35,35,1540,11,0,pink
36,36,19306,349,2,dark purple
37,37,357,2,0,pink
38,38,1673,33,0,pink
39,39,605,22,0,pink
40,40,5792,61,0,pink
41,41,2033,19,0,pink
42,42,652,27,0,pink
43,43,479,20,0,pink
44,44,7709,78,0,pink
45,45,705,19,0,pink
46,46,954,29,0,pink
47,47,3892,44,0,pink
48,48,13233,291,0,pink
49,49,580,8,0,pink
50,50,8748,177,0,pink
51,51,3239,26,0,pink
52,52,0,0,0,pink
53,53,539,6,0,pink
54,54,645,14,0,pink
55,55,1179,9,0,pink
56,56,627,13,0,pink
57,57,1732,2,0,pink
58,58,5787,50,0,pink
59,59,2263,37,0,pink
60,60,432,19,0,pink
61,61,2106,28,0,pink
62,62,1138,85,0,pink
63,63,7418,116,0,pink
64,64,0,0,0,pink
65,65,2253,83,0,pink
66,66,551,13,0,pink
67,67,530,11,0,pink
68,68,718,12,0,pink
69,69,2,0,0,pink
70,70,8,0,0,pink
71,71,3926,28,0,pink
72,72,96,1,0,pink
73,73,10,0,0,pink
74,74,2,0,0,pink
75,75,8,0,0,pink
76,76,1001,9,0,pink
77,77,5,0,0,pink
78,78,0,0,0,pink
79,79,273,1,0,pink
80,80,440,2,0,pink
81,81,49,0,0,pink
82,82,21,0,0,pink
83,83,12,0,0,pink
84,84,0,0,0,pink
85,85,587,2,0,pink
86,86,57,0,0,pink
87,87,96,0,0,pink
88,88,98,0,0,pink
89,89,0,0,0,pink
90,90,7,1,0,pink
91,91,30,0,0,pink
92,92,44,0,0,pink
93,93,0,0,0,pink
94,94,24,0,0,pink
95,95,17,0,0,pink
96,96,76,0,0,pink
97,97,13,0,0,pink
98,98,23,0,0,pink
99,99,79,1,0,pink
100,100,0,0,0,pink
101,101,3476,164,0,pink
