,State,Sex,Age group,COVID-19 Deaths,Age
0,Alabama,Male,Under 1 year,0.0,0.5
1,Alabama,Male,1-4 years,0.0,2.5
2,Alabama,Male,5-14 years,0.0,10
3,Alabama,Male,15-24 years,,20
4,Alabama,Male,25-34 years,,30
5,Alabama,Male,35-44 years,21.0,40
6,Alabama,Male,45-54 years,68.0,50
7,Alabama,Male,55-64 years,140.0,60
8,Alabama,Male,65-74 years,244.0,70
9,Alabama,Male,75-84 years,265.0,80
10,Alabama,Male,85 years and over,185.0,90
11,Alabama,Female,Under 1 year,0.0,0.5
12,Alabama,Female,1-4 years,0.0,2.5
13,Alabama,Female,5-14 years,0.0,10
14,Alabama,Female,15-24 years,0.0,20
15,Alabama,Female,25-34 years,,30
16,Alabama,Female,35-44 years,20.0,40
17,Alabama,Female,45-54 years,46.0,50
18,Alabama,Female,55-64 years,111.0,60
19,Alabama,Female,65-74 years,212.0,70
20,Alabama,Female,75-84 years,227.0,80
21,Alabama,Female,85 years and over,289.0,90
22,Alaska,Male,Under 1 year,0.0,0.5
23,Alaska,Male,1-4 years,0.0,2.5
24,Alaska,Male,5-14 years,0.0,10
25,Alaska,Male,15-24 years,0.0,20
26,Alaska,Male,25-34 years,0.0,30
27,Alaska,Male,35-44 years,0.0,40
28,Alaska,Male,45-54 years,,50
29,Alaska,Male,55-64 years,0.0,60
30,Alaska,Male,65-74 years,,70
31,Alaska,Male,75-84 years,,80
32,Alaska,Male,85 years and over,,90
33,Alaska,Female,Under 1 year,0.0,0.5
34,Alaska,Female,1-4 years,0.0,2.5
35,Alaska,Female,5-14 years,0.0,10
36,Alaska,Female,15-24 years,0.0,20
37,Alaska,Female,25-34 years,,30
38,Alaska,Female,35-44 years,0.0,40
39,Alaska,Female,45-54 years,,50
40,Alaska,Female,55-64 years,,60
41,Alaska,Female,65-74 years,,70
42,Alaska,Female,75-84 years,,80
43,Alaska,Female,85 years and over,0.0,90
44,Arizona,Male,Under 1 year,0.0,0.5
45,Arizona,Male,1-4 years,,2.5
46,Arizona,Male,5-14 years,,10
47,Arizona,Male,15-24 years,11.0,20
48,Arizona,Male,25-34 years,40.0,30
49,Arizona,Male,35-44 years,77.0,40
50,Arizona,Male,45-54 years,168.0,50
51,Arizona,Male,55-64 years,356.0,60
52,Arizona,Male,65-74 years,485.0,70
53,Arizona,Male,75-84 years,574.0,80
54,Arizona,Male,85 years and over,426.0,90
55,Arizona,Female,Under 1 year,0.0,0.5
56,Arizona,Female,1-4 years,0.0,2.5
57,Arizona,Female,5-14 years,0.0,10
58,Arizona,Female,15-24 years,,20
59,Arizona,Female,25-34 years,20.0,30
60,Arizona,Female,35-44 years,38.0,40
61,Arizona,Female,45-54 years,72.0,50
62,Arizona,Female,55-64 years,214.0,60
63,Arizona,Female,65-74 years,326.0,70
64,Arizona,Female,75-84 years,417.0,80
65,Arizona,Female,85 years and over,478.0,90
66,Arkansas,Male,Under 1 year,0.0,0.5
67,Arkansas,Male,1-4 years,0.0,2.5
68,Arkansas,Male,5-14 years,0.0,10
69,Arkansas,Male,15-24 years,,20
70,Arkansas,Male,25-34 years,,30
71,Arkansas,Male,35-44 years,,40
72,Arkansas,Male,45-54 years,28.0,50
73,Arkansas,Male,55-64 years,59.0,60
74,Arkansas,Male,65-74 years,61.0,70
75,Arkansas,Male,75-84 years,80.0,80
