,State,Deaths
0,Alabama,2488
1,Alaska,45
2,American Samoa,0
3,Arizona,5525
4,Arkansas,1229
5,California,15291
6,Colorado,2030
7,Connecticut,4497
8,Delaware,629
9,Diamond Princess,0
10,District of Columbia,621
11,Florida,13618
12,Georgia,6769
13,Grand Princess,3
14,Guam,37
15,Hawaii,122
16,Idaho,454
17,Illinois,8744
18,Indiana,3530
19,Iowa,1298
20,Kansas,620
21,Kentucky,1124
22,Louisiana,5407
23,Maine,140
24,Maryland,3902
25,Massachusetts,9347
26,Michigan,7013
27,Minnesota,2037
28,Mississippi,2870
29,Missouri,1938
30,Montana,165
31,Nebraska,462
32,Nevada,1556
33,New Hampshire,438
34,New Jersey,16082
35,New Mexico,857
36,New York,33090
37,North Carolina,3316
38,North Dakota,203
39,Northern Mariana Islands,2
40,Ohio,4687
41,Oklahoma,970
42,Oregon,538
43,Pennsylvania,8038
44,Puerto Rico,617
45,Rhode Island,1102
46,South Carolina,3262
47,South Dakota,202
48,Tennessee,2277
49,Texas,15372
50,Utah,444
51,Vermont,58
52,Virgin Islands,19
53,Virginia,3087
54,Washington,2081
55,West Virginia,322
56,Wisconsin,1259
57,Wyoming,50
