,State_x,Confirmed,Deaths
0,Alabama,1715,25
1,Alabama,5141,49
2,Alabama,851,7
3,Alabama,638,10
4,Alabama,1580,15
5,Alabama,597,14
6,Alabama,911,39
7,Alabama,3401,40
8,Alabama,1144,42
9,Alabama,583,15
10,Alabama,1524,31
11,Alabama,344,12
12,Alabama,1070,17
13,Alabama,554,7
14,Alabama,335,6
15,Alabama,1298,8
16,Alabama,1629,26
17,Alabama,530,11
18,Alabama,167,3
19,Alabama,1334,27
20,Alabama,527,32
21,Alabama,1868,18
22,Alabama,1346,44
23,Alabama,1759,26
24,Alabama,2375,19
25,Alabama,2596,47
26,Alabama,1577,25
27,Alabama,3402,47
28,Alabama,435,8
29,Alabama,1752,29
30,Alabama,586,4
31,Alabama,303,15
32,Alabama,619,28
33,Alabama,483,5
34,Alabama,2764,23
35,Alabama,1540,11
36,Alabama,19306,349
37,Alabama,357,2
38,Alabama,1673,33
39,Alabama,605,22
40,Alabama,5792,61
41,Alabama,2033,19
42,Alabama,652,27
43,Alabama,479,20
44,Alabama,7709,78
45,Alabama,705,19
46,Alabama,954,29
47,Alabama,3892,44
48,Alabama,13233,291
49,Alabama,580,8
50,Alabama,8748,177
51,Alabama,3239,26
52,Alabama,0,0
53,Alabama,539,6
54,Alabama,645,14
55,Alabama,1179,9
56,Alabama,627,13
57,Alabama,1732,2
58,Alabama,5787,50
59,Alabama,2263,37
60,Alabama,432,19
61,Alabama,2106,28
62,Alabama,1138,85
63,Alabama,7418,116
64,Alabama,0,0
65,Alabama,2253,83
66,Alabama,551,13
67,Alabama,530,11
68,Alabama,718,12
69,Alaska,2,0
70,Alaska,8,0
71,Alaska,3926,28
72,Alaska,96,1
73,Alaska,10,0
74,Alaska,2,0
75,Alaska,8,0
76,Alaska,1001,9
77,Alaska,5,0
78,Alaska,0,0
79,Alaska,273,1
80,Alaska,440,2
81,Alaska,49,0
82,Alaska,21,0
83,Alaska,12,0
84,Alaska,0,0
85,Alaska,587,2
86,Alaska,57,0
87,Alaska,96,0
88,Alaska,98,0
89,Alaska,0,0
90,Alaska,7,1
91,Alaska,30,0
92,Alaska,44,0
93,Alaska,0,0
94,Alaska,24,0
95,Alaska,17,0
96,Alaska,76,0
97,Alaska,13,0
98,Alaska,23,0
99,Alaska,79,1
100,American Samoa,0,0
101,Arizona,3476,164
102,Arizona,1886,71
103,Arizona,3819,133
104,Arizona,1245,51
105,Arizona,808,24
106,Arizona,59,2
107,Arizona,536,15
108,Arizona,140409,3304
109,Arizona,3930,223
110,Arizona,5763,233
111,Arizona,0,0
112,Arizona,25004,613
113,Arizona,10422,206
114,Arizona,2823,63
115,Arizona,0,0
116,Arizona,2495,79
117,Arizona,12609,344
118,Arkansas,371,5
119,Arkansas,428,9
120,Arkansas,302,2
121,Arkansas,6399,82
122,Arkansas,664,10
