,index,Confirmed,Deaths,clusters
0,0,1715,25,1
1,1,5141,49,1
2,2,851,7,1
3,3,638,10,1
4,4,1580,15,1
5,5,597,14,1
6,6,911,39,1
7,7,3401,40,1
8,8,1144,42,1
9,9,583,15,1
10,10,1524,31,1
11,11,344,12,1
12,12,1070,17,1
13,13,554,7,1
14,14,335,6,1
15,15,1298,8,1
16,16,1629,26,1
17,17,530,11,1
18,18,167,3,1
19,19,1334,27,1
20,20,527,32,1
21,21,1868,18,1
22,22,1346,44,1
23,23,1759,26,1
24,24,2375,19,1
25,25,2596,47,1
26,26,1577,25,1
27,27,3402,47,1
28,28,435,8,1
29,29,1752,29,1
30,30,586,4,1
31,31,303,15,1
32,32,619,28,1
33,33,483,5,1
34,34,2764,23,1
35,35,1540,11,1
36,36,19306,349,0
37,37,357,2,1
38,38,1673,33,1
39,39,605,22,1
40,40,5792,61,1
41,41,2033,19,1
42,42,652,27,1
43,43,479,20,1
44,44,7709,78,1
45,45,705,19,1
46,46,954,29,1
47,47,3892,44,1
48,48,13233,291,1
49,49,580,8,1
50,50,8748,177,1
51,51,3239,26,1
52,52,0,0,1
53,53,539,6,1
54,54,645,14,1
55,55,1179,9,1
56,56,627,13,1
57,57,1732,2,1
58,58,5787,50,1
59,59,2263,37,1
60,60,432,19,1
61,61,2106,28,1
62,62,1138,85,1
63,63,7418,116,1
64,64,0,0,1
65,65,2253,83,1
66,66,551,13,1
67,67,530,11,1
68,68,718,12,1
69,69,2,0,1
70,70,8,0,1
71,71,3926,28,1
72,72,96,1,1
73,73,10,0,1
74,74,2,0,1
75,75,8,0,1
76,76,1001,9,1
77,77,5,0,1
78,78,0,0,1
79,79,273,1,1
80,80,440,2,1
81,81,49,0,1
82,82,21,0,1
83,83,12,0,1
84,84,0,0,1
85,85,587,2,1
86,86,57,0,1
87,87,96,0,1
88,88,98,0,1
89,89,0,0,1
90,90,7,1,1
91,91,30,0,1
92,92,44,0,1
93,93,0,0,1
94,94,24,0,1
95,95,17,0,1
96,96,76,0,1
97,97,13,0,1
98,98,23,0,1
99,99,79,1,1
100,100,0,0,1
101,101,3476,164,1
102,102,1886,71,1
103,103,3819,133,1
104,104,1245,51,1
105,105,808,24,1
106,106,59,2,1
107,107,536,15,1
108,108,140409,3304,2
109,109,3930,223,1
110,110,5763,233,1
111,111,0,0,1
112,112,25004,613,0
113,113,10422,206,1
114,114,2823,63,1
115,115,0,0,1
116,116,2495,79,1
117,117,12609,344,1
118,118,371,5,1
119,119,428,9,1
120,120,302,2,1
121,121,6399,82,1
122,122,664,10,1
123,123,340,8,1
124,124,34,0,1
125,125,630,9,1
126,126,1001,19,1
127,127,322,4,1
128,128,277,7,1
129,129,315,8,1
130,130,179,10,1
131,131,399,18,1
132,132,255,3,1
133,133,2759,21,1
134,134,1303,15,1
135,135,1903,45,1
136,136,422,8,1
137,137,158,3,1
138,138,284,5,1
139,139,350,6,1
140,140,2363,19,1
141,141,261,2,1
142,142,134,3,1
143,143,1798,49,1
144,144,252,2,1
145,145,823,8,1
146,146,359,4,1
147,147,1863,26,1
148,148,463,8,1
149,149,1051,17,1
150,150,202,0,1
151,151,302,1,1
152,152,2999,64,1
153,153,829,5,1
154,154,98,2,1
155,155,391,12,1
156,156,1052,18,1
157,157,1943,15,1
158,158,352,25,1
159,159,398,1,1
160,160,1102,11,1
161,161,337,2,1
162,162,83,0,1
163,163,797,11,1
164,164,1636,50,1
165,165,121,0,1
166,166,139,4,1
167,167,214,13,1
168,168,226,18,1
169,169,252,6,1
170,170,0,0,1
171,171,85,0,1
172,172,470,11,1
173,173,223,3,1
174,174,632,11,1
175,175,253,4,1
176,176,2054,30,1
177,177,142,1,1
178,178,8881,143,1
179,179,395,22,1
180,180,2007,23,1
181,181,97,1,1
182,182,141,1,1
183,183,3543,58,1
184,184,1196,16,1
185,185,208,6,1
186,186,1491,6,1
187,187,322,7,1
188,188,1624,0,1
189,189,858,32,1
190,190,172,2,1
191,191,9178,109,1
192,192,768,21,1
193,193,48,0,1
194,194,1240,29,1
195,195,20839,395,0
196,196,2,0,1
197,197,287,16,1
198,198,2776,40,1
199,199,314,14,1
200,200,522,6,1
201,201,16156,202,0
202,202,138,1,1
203,203,1078,4,1
204,204,27944,362,0
205,205,568,3,1
206,206,490,6,1
207,207,11658,317,1
208,208,187,14,1
209,209,31647,357,0
210,210,7544,77,1
211,211,516,11,1
212,212,736,0,1
213,213,263333,6423,2
214,214,4424,65,1
215,215,6620,114,1
216,216,75,2,1
217,217,887,18,1
218,218,8803,140,1
219,219,25,0,1
220,220,165,2,1
221,221,9645,70,1
222,222,1652,13,1
223,223,525,6,1
224,224,52538,1176,0
225,225,0,0,1
226,226,3523,43,1
227,227,50,0,1
228,228,57695,1173,0
229,229,21800,393,0
230,230,1314,11,1
231,231,53121,908,0
232,232,45425,767,0
233,233,10901,99,1
234,234,20060,434,0
235,235,3453,27,1
236,236,9664,144,1
237,237,8952,111,1
238,238,20648,300,0
239,239,2283,8,1
240,240,751,14,1
241,241,6,0,1
242,242,163,0,1
243,243,6232,60,1
244,244,7225,120,1
245,245,16425,342,0
246,246,1686,10,1
247,247,529,4,1
248,248,15,0,1
249,249,15782,257,0
250,250,226,4,1
251,251,0,0,1
252,252,12507,146,1
253,253,2773,55,1
254,254,1133,7,1
255,255,8684,222,1
256,256,242,9,1
257,257,8999,370,1
258,258,55,0,1
259,259,17,0,1
260,260,11,0,1
261,261,3990,79,1
262,262,616,33,1
263,263,325,19,1
264,264,13,0,1
265,265,37,1,1
266,266,31,0,1
267,267,32,1,1
268,268,73,1,1
269,269,17,0,1
270,270,187,3,1
271,271,12689,434,1
272,272,3,0,1
273,273,2458,60,1
274,274,1244,10,1
275,275,6743,170,1
276,276,152,3,1
277,277,170,1,1
278,278,936,5,1
279,279,18,0,1
280,280,71,1,1
281,281,296,7,1
282,282,3,0,1
283,283,19,1,1
284,284,9,0,1
285,285,5500,248,1
286,286,0,0,1
287,287,79,3,1
288,288,255,2,1
289,289,91,0,1
290,290,2424,50,1
291,291,21,0,1
292,292,9,0,1
293,293,850,5,1
294,294,551,7,1
295,295,20,0,1
296,296,40,1,1
297,297,131,5,1
298,298,373,13,1
299,299,736,48,1
300,300,92,6,1
301,301,25,1,1
302,302,0,0,1
303,303,55,1,1
304,304,34,0,1
305,305,221,2,1
306,306,94,0,1
307,307,1052,37,1
308,308,25,0,1
309,309,96,2,1
310,310,148,8,1
311,311,111,2,1
312,312,6,0,1
313,313,96,0,1
314,314,14,1,1
315,315,428,4,1
316,316,174,4,1
317,317,0,0,1
318,318,60,0,1
319,319,4597,149,1
320,320,101,1,1
321,321,19949,1421,0
322,322,14456,1434,0
323,323,1849,140,1
324,324,1560,193,1
325,325,14294,1114,1
326,326,1803,114,1
327,327,0,0,1
328,328,1328,66,1
329,329,135,0,1
330,330,941,15,1
331,331,2898,115,1
332,332,9777,310,1
333,333,0,0,1
334,334,6673,204,1
335,335,482,0,1
336,336,49,0,1
337,337,15050,621,0
338,338,0,0,1
339,339,0,0,1
340,340,7735,49,1
341,341,1426,11,1
342,342,5924,101,1
343,343,1054,8,1
344,344,8578,284,1
